Rank,Title.href,Title.text,Category.href,Category.text,App URL.href,App URL.text,index,url
17,https://itunes.apple.com/us/app/yeahkeys-customize-your-keyboard/id937236311?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,YeahKeys - Customize your keyboard,https://itunes.apple.com/us/genre/ios-utilities/id6002?mt=8&uo=2&l=en,Utilities,https://itunes.apple.com/us/app/yeahkeys-customize-your-keyboard/id937236311?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,17,https://www.apple.com/itunes/charts/paid-apps/
18,https://itunes.apple.com/us/app/terraria/id640364616?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Terraria,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/terraria/id640364616?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,18,https://www.apple.com/itunes/charts/paid-apps/
19,https://itunes.apple.com/us/app/7-minute-workout-challenge/id680170305?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,7 Minute Workout Challenge,https://itunes.apple.com/us/genre/ios-health-fitness/id6013?mt=8&uo=2&l=en,Health & Fitness,https://itunes.apple.com/us/app/7-minute-workout-challenge/id680170305?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,19,https://www.apple.com/itunes/charts/paid-apps/
20,https://itunes.apple.com/us/app/five-nights-at-freddys-2/id941143328?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Five Nights at Freddy's 2,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/five-nights-at-freddys-2/id941143328?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,20,https://www.apple.com/itunes/charts/paid-apps/
21,https://itunes.apple.com/us/app/bloons-td-5/id563718995?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Bloons TD 5,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/bloons-td-5/id563718995?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,21,https://www.apple.com/itunes/charts/paid-apps/
22,https://itunes.apple.com/us/app/angry-birds/id343200656?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Angry Birds,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/angry-birds/id343200656?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,22,https://www.apple.com/itunes/charts/paid-apps/
23,https://itunes.apple.com/us/app/fantasy-premier-league-2015/id1013374789?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Fantasy Premier League 2015/16 - Official App,https://itunes.apple.com/us/genre/ios-sports/id6004?mt=8&uo=2&l=en,Sports,https://itunes.apple.com/us/app/fantasy-premier-league-2015/id1013374789?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,23,https://www.apple.com/itunes/charts/paid-apps/
24,https://itunes.apple.com/us/app/ultimate-guitar-tabs-largest/id357828853?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,"Ultimate Guitar Tabs - largest catalog of songs with guitar and ukulele chords, tabs, lyrics and guitar lessons",https://itunes.apple.com/us/genre/ios-music/id6011?mt=8&uo=2&l=en,Music,https://itunes.apple.com/us/app/ultimate-guitar-tabs-largest/id357828853?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,24,https://www.apple.com/itunes/charts/paid-apps/
25,https://itunes.apple.com/us/app/toca-hair-salon-2/id569632660?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Toca Hair Salon 2,https://itunes.apple.com/us/genre/ios-education/id6017?mt=8&uo=2&l=en,Education,https://itunes.apple.com/us/app/toca-hair-salon-2/id569632660?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,25,https://www.apple.com/itunes/charts/paid-apps/
26,https://itunes.apple.com/us/app/backflip-madness/id564874986?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Backflip Madness,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/backflip-madness/id564874986?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,26,https://www.apple.com/itunes/charts/paid-apps/
